sample-id	InputFileName	Site	Description
P1-1	MG1	Sublittoral	UFBA_Carolina_Jan_2019-115734618
P1-2	MG2	Sublittoral	UFBA_Carolina_Jan_2019-115734619
P1-3	MG3	Sublittoral	UFBA_Carolina_Jan_2019-115734620
P2-1	MG4	Intertidal	UFBA_Carolina_Jan_2019-115734621
P2-2	MG5	Intertidal	UFBA_Carolina_Jan_2019-115734622
P2-3	MG6	Intertidal	UFBA_Carolina_Jan_2019-115734623
P3-1	MG7	Supralittoral	UFBA_Carolina_Jan_2019-115734624
P3-2	MG8	Supralittoral	UFBA_Carolina_Jan_2019-115734625
P3-3	MG9	Supralittoral	UFBA_Carolina_Jan_2019-115734626
MG1SumB	MG1SumB	Zhou_Supralittoral	ZZCS2
MG2SumB	MG2SumB	Zhou_Supralittoral	ZZCS5
MG3SumB	MG3SumB	Zhou_Supralittoral	ZZCS8
TF1SumB	TF1SumB	Zhou_Intertidal	ZZCS11
TF2SumB	TF2SumB	Zhou_Intertidal	ZZCS13
TF3SumB	TF3SumB	Zhou_Intertidal	ZZCS15
